,barrages,ville,region,avg(taux_de_remplissage_percent)
0,TANGER - MEDITERRANEE,TANGER,Tanger-Tetouan-Al Hoceima,84.01956525056258
1,MANSOUR EDDAHBI,Ouarzazate,Draa-Tafilalet,18.810416618982952
