ville,temperature,precipitation,date,barrages,capacite_normal_mm3,reserve_mm3,taux_de_remplissage_percent,reserve_mm3_last_year,taux_de_remplissage_percent_last_year,region
Marrakech,19,0.0,2021-12-19,LALLA TAKERKOUST,"53,3","5,5","10,3","4,8","9,1",Marrakech-Safi 
Marrakech,19,0.0,2021-12-20,LALLA TAKERKOUST,"53,3","5,5","10,3","4,8","9,0",Marrakech-Safi 
Marrakech,20,0.0,2021-12-21,LALLA TAKERKOUST,"53,3","5,5","10,3","4,8","9,0",Marrakech-Safi 
Marrakech,18,0.0,2021-12-23,LALLA TAKERKOUST,"53,3","5,5","10,4","4,8","9,0",Marrakech-Safi 
Marrakech,17,0.0,2021-12-24,LALLA TAKERKOUST,"53,3","5,5","10,4","4,8","9,0",Marrakech-Safi 
Marrakech,15,0.2,2021-12-25,LALLA TAKERKOUST,"53,3","5,5","10,4","4,8","9,0",Marrakech-Safi 
Marrakech,18,0.0,2021-12-26,LALLA TAKERKOUST,"53,3","5,6","10,5","4,8","9,0",Marrakech-Safi 
Marrakech,18,0.0,2021-12-27,LALLA TAKERKOUST,"53,3","5,6","10,5","4,8","9,0",Marrakech-Safi 
Marrakech,20,0.0,2021-12-28,LALLA TAKERKOUST,"53,3","5,6","10,5","4,8","9,0",Marrakech-Safi 
Marrakech,21,0.0,2021-12-29,LALLA TAKERKOUST,"53,3","5,6","10,5","4,8","9,0",Marrakech-Safi 
Marrakech,21,0.0,2021-12-30,LALLA TAKERKOUST,"53,3","5,6","10,5","4,8","8,9",Marrakech-Safi 
Marrakech,22,0.0,2021-12-31,LALLA TAKERKOUST,"53,3","5,6","10,5","4,8","8,9",Marrakech-Safi 
Marrakech,21,0.0,2022-01-01,LALLA TAKERKOUST,"53,3","5,6","10,5","4,8","8,9",Marrakech-Safi 
Marrakech,20,0.0,2022-01-02,LALLA TAKERKOUST,"53,3","5,6","10,5","4,8","8,9",Marrakech-Safi 
Marrakech,20,0.0,2022-01-03,LALLA TAKERKOUST,"53,3","5,6","10,5","4,7","8,9",Marrakech-Safi 
Marrakech,18,0.0,2022-01-04,LALLA TAKERKOUST,"53,3","5,6","10,5","4,7","8,9",Marrakech-Safi 
Marrakech,14,0.0,2022-01-05,LALLA TAKERKOUST,"53,3","5,6","10,5","4,7","8,9",Marrakech-Safi 
Marrakech,14,0.0,2022-01-06,LALLA TAKERKOUST,"53,3","5,6","10,5","4,7","8,9",Marrakech-Safi 
Marrakech,14,0.0,2022-01-07,LALLA TAKERKOUST,"53,3","5,6","10,5","4,7","8,9",Marrakech-Safi 
Marrakech,16,0.0,2022-01-08,LALLA TAKERKOUST,"53,3","5,6","10,5","4,7","8,9",Marrakech-Safi 
Marrakech,17,0.0,2022-01-09,LALLA TAKERKOUST,"53,3","5,6","10,5","4,8","9,0",Marrakech-Safi 
Marrakech,15,0.0,2022-01-10,LALLA TAKERKOUST,"53,3","5,6","10,5","4,8","9,0",Marrakech-Safi 
Marrakech,15,0.0,2022-01-11,LALLA TAKERKOUST,"53,3","5,6","10,5","4,8","9,0",Marrakech-Safi 
Marrakech,16,0.0,2022-01-12,LALLA TAKERKOUST,"53,3","5,6","10,5","4,8","8,9",Marrakech-Safi 
Marrakech,17,0.0,2022-01-13,LALLA TAKERKOUST,"53,3","5,6","10,5","4,8","8,9",Marrakech-Safi 
Marrakech,17,0.0,2022-01-14,LALLA TAKERKOUST,"53,3","5,6","10,5","6,2","11,6",Marrakech-Safi 
Marrakech,18,0.0,2022-01-29,LALLA TAKERKOUST,"53,3","5,7","10,7","17,0","31,9",Marrakech-Safi 
Marrakech,19,0.0,2022-01-30,LALLA TAKERKOUST,"53,3","5,7","10,7","16,5","31,0",Marrakech-Safi 
Marrakech,21,0.0,2022-01-31,LALLA TAKERKOUST,"53,3","5,7","10,6","16,0","30,0",Marrakech-Safi 
Marrakech,21,0.0,2022-02-01,LALLA TAKERKOUST,"53,3","5,7","10,6","15,3","28,8",Marrakech-Safi 
Marrakech,21,0.0,2022-02-02,LALLA TAKERKOUST,"53,3","5,7","10,6","14,8","27,7",Marrakech-Safi 
Marrakech,22,0.0,2022-02-03,LALLA TAKERKOUST,"53,3","5,7","10,6","14,1","26,5",Marrakech-Safi 
Marrakech,19,0.0,2022-02-04,LALLA TAKERKOUST,"53,3","5,7","10,7","15,8","29,6",Marrakech-Safi 
Marrakech,20,0.0,2022-02-05,LALLA TAKERKOUST,"53,3","5,7","10,7","12,8","24,1",Marrakech-Safi 
Marrakech,19,0.6,2022-02-06,LALLA TAKERKOUST,"53,3","5,7","10,7","12,2","22,9",Marrakech-Safi 
Marrakech,21,0.0,2022-02-07,LALLA TAKERKOUST,"53,3","5,6","10,6","11,9","22,4",Marrakech-Safi 
Marrakech,22,0.0,2022-02-08,LALLA TAKERKOUST,"53,3","5,5","10,4","11,7","21,9",Marrakech-Safi 
Marrakech,16,0.0,2022-02-14,LALLA TAKERKOUST,"53,3","4,9","9,2","9,8","18,3",Marrakech-Safi 
Marrakech,17,0.0,2022-02-15,LALLA TAKERKOUST,"53,3","4,8","9,0","9,4","17,7",Marrakech-Safi 
Marrakech,18,0.0,2022-02-16,LALLA TAKERKOUST,"53,29","4,66","8,7","9,1","17,1",Marrakech-Safi 
Marrakech,18,0.0,2022-02-17,LALLA TAKERKOUST,"53,3","4,5","8,5","8,8","16,5",Marrakech-Safi 
Marrakech,19,0.0,2022-02-18,LALLA TAKERKOUST,"53,3","4,5","8,5","8,5","15,9",Marrakech-Safi 
Marrakech,13,0.2,2022-02-19,LALLA TAKERKOUST,"53,3","4,3","8,2","8,2","15,3",Marrakech-Safi 
Marrakech,17,0.0,2022-02-20,LALLA TAKERKOUST,"53,3","4,2","8,0","7,9","14,9",Marrakech-Safi 
Marrakech,22,0.0,2022-02-21,LALLA TAKERKOUST,"53,3","4,1","7,7","7,7","14,4",Marrakech-Safi 
Marrakech,23,0.0,2022-02-22,LALLA TAKERKOUST,"53,3","4,0","7,6","7,6","14,3",Marrakech-Safi 
Marrakech,24,0.1,2022-02-23,LALLA TAKERKOUST,"53,3","3,9","7,4","7,5","14,2",Marrakech-Safi 
Marrakech,23,0.1,2022-02-24,LALLA TAKERKOUST,"53,3","3,8","7,2","7,5","14,1",Marrakech-Safi 
Marrakech,21,0.0,2022-02-25,LALLA TAKERKOUST,"53,3","3,7","6,9","7,4","13,9",Marrakech-Safi 
Marrakech,16,1.0,2022-02-26,LALLA TAKERKOUST,"53,3","3,6","6,7","7,4","13,9",Marrakech-Safi 
Marrakech,18,10.9,2022-02-27,LALLA TAKERKOUST,"53,3","3,5","6,5","7,3","13,8",Marrakech-Safi 
Marrakech,19,0.2,2022-02-28,LALLA TAKERKOUST,"53,3","3,3","6,3","7,2","13,6",Marrakech-Safi 
Marrakech,20,0.0,2022-03-01,LALLA TAKERKOUST,"53,3","3,2","6,1","7,2","13,5",Marrakech-Safi 
Marrakech,17,0.0,2022-03-02,LALLA TAKERKOUST,"53,3","3,1","5,9","7,2","13,5",Marrakech-Safi 
Marrakech,18,0.0,2022-03-03,LALLA TAKERKOUST,"53,3","3,0","5,6","7,1","13,4",Marrakech-Safi 
Marrakech,15,0.4,2022-03-04,LALLA TAKERKOUST,"53,3","2,9","5,4","7,0","13,2",Marrakech-Safi 
Marrakech,15,0.0,2022-03-05,LALLA TAKERKOUST,"53,3","2,8","5,2","7,0","13,1",Marrakech-Safi 
Marrakech,12,1.9,2022-03-06,LALLA TAKERKOUST,"53,3","2,7","5,0","8,5","16,0",Marrakech-Safi 
Marrakech,15,0.6000000000000001,2022-03-07,LALLA TAKERKOUST,"53,3","2,6","4,9","11,9","22,4",Marrakech-Safi 
Marrakech,17,0.0,2022-03-08,LALLA TAKERKOUST,"53,3","4,3","8,2","14,9","28,0",Marrakech-Safi 
Marrakech,17,0.0,2022-03-09,LALLA TAKERKOUST,"53,3","7,3","13,7","16,5","31,0",Marrakech-Safi 
Marrakech,17,0.0,2022-03-10,LALLA TAKERKOUST,"53,3","9,9","18,6","16,6","31,1",Marrakech-Safi 
Marrakech,18,0.0,2022-03-11,LALLA TAKERKOUST,"53,3","12,7","23,8","16,6","31,1",Marrakech-Safi 
