ville,temperature,precipitation,date,barrages,capacite_normal_mm3,reserve_mm3,taux_de_remplissage_percent,reserve_mm3_last_year,taux_de_remplissage_percent_last_year,region
Ouarzazate,34,0,8/23/2021,MANSOUR EDDAHBI,"445,3","64,4","14,5","80,3","18,0",Draa-Tafilalet
TANGER,26,0,8/30/2021,TANGER - MEDITERRANEE,"22,0","18,5","84,0","13,3","60,3",Tanger-Tetouan-Al Hoceima
Ouarzazate,31,0,8/30/2021,MANSOUR EDDAHBI,"445,3","63,4","14,2","79,9","17,9",Draa-Tafilalet
TANGER,29,0,9/6/2021,TANGER - MEDITERRANEE,"22,0","18,3","83,2","13,2","59,8",Tanger-Tetouan-Al Hoceima
Ouarzazate,32,0,9/6/2021,MANSOUR EDDAHBI,"445,3","62,8","14,1","87,1","19,6",Draa-Tafilalet
TANGER,26,0.4,9/13/2021,TANGER - MEDITERRANEE,"22,0","18,1","82,4","13,1","59,4",Tanger-Tetouan-Al Hoceima
Ouarzazate,28,0,9/13/2021,MANSOUR EDDAHBI,"445,3","61,5","13,8","92,4","20,7",Draa-Tafilalet
TANGER,25,0,9/20/2021,TANGER - MEDITERRANEE,"22,0","18,0","81,6","13,1","59,3",Tanger-Tetouan-Al Hoceima
Ouarzazate,28,0,9/20/2021,MANSOUR EDDAHBI,"445,3","63,5","14,3","92,9","20,9",Draa-Tafilalet
TANGER,26,0,9/27/2021,TANGER - MEDITERRANEE,"22,0","17,9","81,3","12,9","58,6",Tanger-Tetouan-Al Hoceima
Ouarzazate,30,0,9/27/2021,MANSOUR EDDAHBI,"445,3","63,4","14,2","92,6","20,8",Draa-Tafilalet
TANGER,21,0,10/4/2021,TANGER - MEDITERRANEE,"22,0","17,9","81,1","12,8","58,3",Tanger-Tetouan-Al Hoceima
Ouarzazate,26,0,10/4/2021,MANSOUR EDDAHBI,"445,3","63,2","14,2","92,1","20,7",Draa-Tafilalet
TANGER,24,0,10/11/2021,TANGER - MEDITERRANEE,"22,0","17,8","80,7","12,7","57,9",Tanger-Tetouan-Al Hoceima
Ouarzazate,25,0,10/11/2021,MANSOUR EDDAHBI,"445,3","63,2","14,2","91,7","20,6",Draa-Tafilalet
TANGER,23,0,10/18/2021,TANGER - MEDITERRANEE,"22,0","17,7","80,2","12,7","57,5",Tanger-Tetouan-Al Hoceima
Ouarzazate,25,0,10/18/2021,MANSOUR EDDAHBI,"445,3","62,9","14,1","91,1","20,5",Draa-Tafilalet
