"",,13/03/21,,13/03/20,
BARRAGES,CAPACITE,RESERVE,TAUX DE,RESERVE,TAUX DE
"",NORMALE,,REMPLISSAGE,,REMPLISSAGE
"",(Mm3),(Mm3),( % ),(Mm3),( % )
OUED EL MAKHAZINE,"672,9","670,0","99,6","652,6","97,0"
TANGER - MEDITERRANEE,"22,0","19,1","86,8","13,2","60,2"
IBN BATTOUTA,"29,1","29,1","100,0","5,4","18,7"
NEUF AVRIL 1947,"300,0","76,5","25,5","75,2","25,1"
NAKHLA,"4,21","4,11","97,6","4,2","99,1"
MY HASSAN BEN AL MAHDI,"23,4","23,4","100,0","18,3","78,2"
SMIR,"39,0","39,0","100,0","23,1","59,4"
M.B.A. AL KHATTABI,"11,8","9,0","76,2","5,7","48,7"
CHEFCHAOUEN,"12,2","12,2","100,0","12,2","100,0"
ACHARIF AL IDRISSI,"121,65","121,65","100,0","57,7","47,4"
HASSAN II,"392,3","113,1","28,8","118,9","30,3"
Dar Khrofa,"480,3","252,2","52,5",-,-
JOUMOUA,"5,2","0,9","18,2","0,6","12,1"
INJIL,"12,6","1,5","12,0","1,2","9,4"
BARRAGE SUR OUED ZA,"94,9","63,0","66,4","94,9","100,0"
MOHAMED V,"239,5","47,9","20,0","47,6","19,9"
MECHRAA HOMMADI,"8,1","6,0","74,7","6,3","77,8"
BAB LOUTA,"33,8","33,6","99,4","33,1","97,9"
IDRISS 1 er,"1129,6","840,6","74,4","904,1","80,0"
ALLAL EL FASSI,"63,8","56,2","88,1","52,6","82,5"
SIDI ECHAHED,"152,8","113,1","74,0","122,5","80,2"
SAHLA,"67,4","44,6","66,2","45,6","67,7"
BOUHOUDA,"44,8","44,8","100,0","44,8","100,0"
ASFALOU,"281,68","162,45","57,7","157,6","55,9"
ALWAHDA,"3522,3","2789,8","79,2","2030,0","57,6"
GARDE SEBOU,"40,1","29,9","74,6","39,4","98,2"
EL KENSERA,"216,4","66,1","30,5","106,5","49,2"
MICHLIFEN,"1,5","0,9","57,4","0,9","57,4"
AL HIMER,"14,06","2,32","16,5","2,1","15,0"
S.M.  BEN ABDEELLAH,"974,8","640,0","65,7","665,2","68,2"
TAMESNA,"56,1","34,4","61,3","33,4","59,5"
OUED MELLAH,"37,3","19,7","52,8","17,2","46,2"
BIN EL OUIDANE,"1215,5","368,0","30,3","449,6","37,0"
HASSAN 1er,"236,0","71,7","30,4","65,9","27,9"
SIDI DRISS,"2,4","2,4","97,9","1,0","40,7"
MOULAY YOUSSEF,"142,8","64,8","45,4","45,9","32,1"
TIMINOUTINE,"1,4","1,2","90,7","1,2","89,8"
AHMED AL HANSSALI,"668,2","242,5","36,3","234,9","35,1"
AIT MESSAOUD,"14,3","12,7","89,0","12,3","86,0"
AL MASSIRA,"2657,0","336,2","12,7","409,2","15,4"
IMFOUT,"9,4","5,6","59,6","7,4","78,6"
DAOURAT,"6,8","5,4","79,2","5,6","82,6"
SIDI SAID MAACHOU,"1,1","1,1","100,0","1,1","100,0"
S.M'HAMED BEN SLIMAN JAZOULI,"15,4","8,6","55,7","11,4","74,1"
YAAKOUB MANSOUR,"69,3","35,3","51,0","12,8","18,5"
ABOU EL ABBAS ESSABTI,"24,83","11,56","46,6","12,0","48,2"
LALLA TAKERKOUST,"53,3","16,6","31,1","3,6","6,7"
BARRAGE MOULAY ABDERRAHMANE,"64,4","62,1","96,5","50,1","77,8"
DKHILA,"0,2","0,1","50,1","0,2","70,9"
MOULAY ABDALLAH,"90,6","32,2","35,6","17,0","18,7"
AOULOUZ,"89,0","68,5","77,0","51,5","57,9"
ABDELMOUMENE,"198,4","36,9","18,6","21,7","11,0"
MOKHTAR SOUSSI,"39,8","39,8","100,0","17,9","44,9"
IMI EL KHENG,"9,8","9,8","100,0","5,9","60,1"
AHL SOUSS,"4,7","4,6","99,8","3,1","66,1"
YOUSSEF BEN TACHFINE,"298,9","81,3","27,2","40,6","13,6"
MANSOUR EDDAHBI,"445,3","103,2","23,2","158,9","35,7"
SULTAN MOULAY ALI CHERIF,"280,2","163,7","58,4","163,6","58,4"
HASSAN ADDAKHIL,"312,8","57,5","18,4","94,2","30,1"
SAQUIAT ALHAMRA,-,-,-,-,-
TWUIZGUI RAMZ,"15,0","0,0","0,0","0,0","0,0"
ENSEMBLE DES BARRAGES,"16072,1","8210,6","51,1","7290,7","46,7"
