"",,15/03/21,,15/03/20,
BARRAGES,CAPACITE,RESERVE,TAUX DE,RESERVE,TAUX DE
"",NORMALE,,REMPLISSAGE,,REMPLISSAGE
"",(Mm3),(Mm3),( % ),(Mm3),( % )
OUED EL MAKHAZINE,"672,9","667,4","99,2","651,5","96,8"
TANGER - MEDITERRANEE,"22,0","19,2","87,0","13,2","60,1"
IBN BATTOUTA,"29,1","29,1","100,0","5,6","19,3"
NEUF AVRIL 1947,"300,0","76,5","25,5","74,2","24,7"
NAKHLA,"4,21","4,21","100,0","4,2","99,1"
MY HASSAN BEN AL MAHDI,"23,4","23,4","100,0","18,2","77,9"
SMIR,"39,0","39,0","100,0","23,1","59,3"
M.B.A. AL KHATTABI,"11,8","9,0","75,9","5,7","48,3"
CHEFCHAOUEN,"12,2","12,2","100,0","12,2","100,0"
ACHARIF AL IDRISSI,"121,65","121,65","100,0","57,6","47,4"
HASSAN II,"392,3","113,1","28,8","118,9","30,3"
Dar Khrofa,"480,3","252,2","52,5",-,-
JOUMOUA,"5,2","0,9","18,2","0,6","11,9"
INJIL,"12,6","1,5","12,0","1,2","9,4"
BARRAGE SUR OUED ZA,"94,9","63,0","66,4","94,9","100,0"
MOHAMED V,"239,5","47,5","19,8","44,3","18,5"
MECHRAA HOMMADI,"8,1","5,7","71,2","6,4","79,3"
BAB LOUTA,"33,8","33,6","99,4","33,1","97,7"
IDRISS 1 er,"1129,6","843,5","74,7","897,0","79,4"
ALLAL EL FASSI,"63,8","57,7","90,5","54,6","85,6"
SIDI ECHAHED,"152,8","113,1","74,0","122,4","80,1"
SAHLA,"67,4","44,9","66,6","45,5","67,5"
BOUHOUDA,"44,8","44,8","100,0","43,7","97,6"
ASFALOU,"281,68","162,33","57,6","157,4","55,9"
ALWAHDA,"3522,3","2783,3","79,0","2021,1","57,4"
GARDE SEBOU,"40,1","10,7","26,8","39,5","98,5"
EL KENSERA,"216,4","66,3","30,6","106,4","49,2"
MICHLIFEN,"1,5","0,9","57,4","0,9","57,4"
AL HIMER,"14,06","2,32","16,5","2,1","15,0"
S.M.  BEN ABDEELLAH,"974,8","640,0","65,7","663,0","68,0"
TAMESNA,"56,1","34,4","61,3","32,4","57,7"
OUED MELLAH,"37,3","19,7","52,8","17,2","46,0"
BIN EL OUIDANE,"1215,5","373,1","30,7","450,0","37,0"
HASSAN 1er,"236,0","73,0","30,9","65,2","27,6"
SIDI DRISS,"2,4","2,3","94,2","1,3","52,4"
MOULAY YOUSSEF,"142,8","66,4","46,5","46,1","32,3"
TIMINOUTINE,"1,4","1,2","92,1","1,2","90,7"
AHMED AL HANSSALI,"668,2","245,2","36,7","217,5","32,6"
AIT MESSAOUD,"14,3","12,6","87,9","11,1","77,7"
AL MASSIRA,"2657,0","338,0","12,7","413,3","15,6"
IMFOUT,"9,4","5,5","57,9","6,6","70,6"
DAOURAT,"6,8","5,3","77,7","5,6","82,8"
SIDI SAID MAACHOU,"1,1","1,1","100,0","1,1","100,0"
S.M'HAMED BEN SLIMAN JAZOULI,"15,4","8,6","55,6","11,4","73,7"
YAAKOUB MANSOUR,"69,3","36,8","53,0","12,9","18,5"
ABOU EL ABBAS ESSABTI,"24,83","11,83","47,6","12,0","48,3"
LALLA TAKERKOUST,"53,3","16,6","31,1","3,4","6,5"
BARRAGE MOULAY ABDERRAHMANE,"64,4","62,1","96,4","49,9","77,5"
DKHILA,"0,2","0,2","80,7","0,2","74,7"
MOULAY ABDALLAH,"90,6","32,1","35,4","16,8","18,6"
AOULOUZ,"89,0","68,7","77,2","51,1","57,4"
ABDELMOUMENE,"198,4","37,1","18,7","21,5","10,8"
MOKHTAR SOUSSI,"39,8","39,8","100,0","17,8","44,9"
IMI EL KHENG,"9,8","9,8","100,0","5,9","60,0"
AHL SOUSS,"4,7","4,6","99,7","3,1","66,0"
YOUSSEF BEN TACHFINE,"298,9","81,3","27,2","40,5","13,5"
MANSOUR EDDAHBI,"445,3","100,3","22,5","158,7","35,7"
SULTAN MOULAY ALI CHERIF,"280,2","164,1","58,6","163,0","58,2"
HASSAN ADDAKHIL,"312,8","57,7","18,4","90,1","28,8"
SAQUIAT ALHAMRA,-,-,-,-,-
TWUIZGUI RAMZ,"15,0","0,0","0,0","0,0","0,0"
ENSEMBLE DES BARRAGES,"16072,1","8198,3","51,0","7245,4","46,5"
