"",,16/03/21,,16/03/20,
BARRAGES,CAPACITE,RESERVE,TAUX DE,RESERVE,TAUX DE
"",NORMALE,,REMPLISSAGE,,REMPLISSAGE
"",(Mm3),(Mm3),( % ),(Mm3),( % )
OUED EL MAKHAZINE,"672,9","666,0","99,0","651,2","96,8"
TANGER - MEDITERRANEE,"22,0","19,2","87,1","13,2","60,1"
IBN BATTOUTA,"29,1","29,1","100,0","5,6","19,3"
NEUF AVRIL 1947,"300,0","77,1","25,7","74,2","24,7"
NAKHLA,"4,21","4,21","100,0","4,1","98,5"
MY HASSAN BEN AL MAHDI,"23,4","23,4","100,0","18,2","77,8"
SMIR,"39,0","39,0","100,0","23,1","59,3"
M.B.A. AL KHATTABI,"11,8","9,0","75,9","5,7","48,3"
CHEFCHAOUEN,"12,2","12,2","100,0","12,2","100,0"
ACHARIF AL IDRISSI,"121,65","121,65","100,0","57,6","47,4"
HASSAN II,"392,3","113,1","28,8","118,9","30,3"
Dar Khrofa,"480,3","252,2","52,5",-,-
JOUMOUA,"5,2","0,9","18,2","0,6","11,8"
INJIL,"12,6","1,5","12,0","1,2","9,6"
BARRAGE SUR OUED ZA,"94,9","63,2","66,6","94,9","100,0"
MOHAMED V,"239,5","46,6","19,5","44,0","18,4"
MECHRAA HOMMADI,"8,1","5,9","73,3","6,6","81,7"
BAB LOUTA,"33,8","33,6","99,4","33,0","97,7"
IDRISS 1 er,"1129,6","845,5","74,8","895,0","79,2"
ALLAL EL FASSI,"63,8","58,0","91,0","55,5","87,0"
SIDI ECHAHED,"152,8","113,1","74,0","122,3","80,0"
SAHLA,"67,4","45,0","66,7","45,5","67,5"
BOUHOUDA,"44,8","44,8","100,0","43,6","97,3"
ASFALOU,"281,68","162,33","57,6","157,3","55,8"
ALWAHDA,"3522,3","2781,1","79,0","2019,4","57,3"
GARDE SEBOU,"40,1","10,7","26,8","39,8","99,4"
EL KENSERA,"216,4","66,3","30,6","106,3","49,1"
MICHLIFEN,"1,5","0,9","57,4","0,9","57,4"
AL HIMER,"14,06","2,32","16,5","2,1","15,0"
S.M.  BEN ABDEELLAH,"974,8","639,7","65,6","662,2","67,9"
TAMESNA,"56,1","34,4","61,3","32,4","57,7"
OUED MELLAH,"37,3","19,7","52,7","17,2","46,0"
BIN EL OUIDANE,"1215,5","373,1","30,7","450,0","37,0"
HASSAN 1er,"236,0","73,6","31,2","65,0","27,5"
SIDI DRISS,"2,4","2,2","90,5","1,2","49,6"
MOULAY YOUSSEF,"142,8","67,2","47,1","46,1","32,3"
TIMINOUTINE,"1,4","1,2","92,1","1,2","91,6"
AHMED AL HANSSALI,"668,2","246,6","36,9","211,8","31,7"
AIT MESSAOUD,"14,3","12,6","87,9","11,5","80,5"
AL MASSIRA,"2657,0","338,0","12,7","416,6","15,7"
IMFOUT,"9,4","5,5","57,9","5,8","61,4"
DAOURAT,"6,8","5,3","77,7","4,8","70,6"
SIDI SAID MAACHOU,"1,1","1,1","100,0","1,1","100,0"
S.M'HAMED BEN SLIMAN JAZOULI,"15,4","8,6","55,6","11,4","73,6"
YAAKOUB MANSOUR,"69,3","37,5","54,0","12,9","18,6"
ABOU EL ABBAS ESSABTI,"24,83","11,99","48,3","12,0","48,2"
LALLA TAKERKOUST,"53,3","16,6","31,1","3,4","6,5"
BARRAGE MOULAY ABDERRAHMANE,"64,4","62,1","96,4","49,8","77,4"
DKHILA,"0,2","0,1","49,3","0,2","68,3"
MOULAY ABDALLAH,"90,6","32,0","35,4","16,8","18,5"
AOULOUZ,"89,0","68,7","77,2","50,9","57,2"
ABDELMOUMENE,"198,4","37,1","18,7","21,4","10,8"
MOKHTAR SOUSSI,"39,8","39,8","100,0","17,9","44,9"
IMI EL KHENG,"9,8","9,8","100,0","5,9","60,0"
AHL SOUSS,"4,7","4,6","99,6","3,1","66,0"
YOUSSEF BEN TACHFINE,"298,9","81,3","27,2","40,5","13,5"
MANSOUR EDDAHBI,"445,3","98,8","22,2","158,6","35,6"
SULTAN MOULAY ALI CHERIF,"280,2","164,2","58,6","162,9","58,2"
HASSAN ADDAKHIL,"312,8","57,7","18,5","90,1","28,8"
SAQUIAT ALHAMRA,-,-,-,-,-
TWUIZGUI RAMZ,"15,0","0,0","0,0","0,0","0,0"
ENSEMBLE DES BARRAGES,"16072,1","8198,9","51,0","7236,6","46,4"
